date,average_price,houses_sold,no_of_crimes
1995-01-01,182695,324,
1995-02-01,182345,207,
1995-03-01,182879,318,
1995-04-01,184177,293,
1995-05-01,191474,274,
1995-06-01,197266,294,
1995-07-01,197963,314,
1995-08-01,198037,279,
1995-09-01,197048,287,
1995-10-01,200006,243,
1995-11-01,199675,269,
1995-12-01,200722,304,
1996-01-01,198312,257,
1996-02-01,195950,220,
1996-03-01,197477,293,
1996-04-01,201218,324,
1996-05-01,202341,366,
1996-06-01,199343,305,
1996-07-01,207443,440,
1996-08-01,209218,426,
1996-09-01,220388,411,
1996-10-01,217286,364,
1996-11-01,223197,425,
1996-12-01,213709,440,
1997-01-01,225231,428,
1997-02-01,230873,375,
1997-03-01,237079,359,
1997-04-01,238468,410,
1997-05-01,236535,433,
1997-06-01,247303,439,
1997-07-01,254978,478,
1997-08-01,257691,357,
1997-09-01,256336,419,
1997-10-01,251863,341,
1997-11-01,258398,334,
1997-12-01,265112,334,
1998-01-01,269224,315,
1998-02-01,270629,236,
1998-03-01,265000,355,
1998-04-01,270216,334,
1998-05-01,273275,334,
1998-06-01,277600,358,
1998-07-01,272128,395,
1998-08-01,271068,356,
1998-09-01,266527,369,
1998-10-01,262419,349,
1998-11-01,255844,341,
1998-12-01,266271,339,
1999-01-01,278269,292,
1999-02-01,289467,267,
1999-03-01,285638,428,
1999-04-01,283232,446,
1999-05-01,291011,398,
1999-06-01,300774,491,
1999-07-01,309698,515,
1999-08-01,317394,460,
1999-09-01,333918,485,
1999-10-01,341202,395,
1999-11-01,352620,412,
1999-12-01,354241,428,
2000-01-01,355951,385,
2000-02-01,352516,355,
2000-03-01,360878,484,
2000-04-01,376493,425,
2000-05-01,382489,375,
2000-06-01,372276,374,
2000-07-01,384497,312,
2000-08-01,388375,294,
2000-09-01,397353,306,
2000-10-01,371261,336,
2000-11-01,386824,317,
2000-12-01,392714,333,
2001-01-01,407739,276,2137
2001-02-01,394886,277,1955
2001-03-01,406200,394,2314
2001-04-01,418016,335,2129
2001-05-01,417771,364,2242
2001-06-01,423411,341,2149
2001-07-01,434521,424,2196
2001-08-01,451028,367,2242
2001-09-01,438215,321,1995
2001-10-01,424833,300,2272
2001-11-01,412659,295,2197
2001-12-01,412275,246,2034
2002-01-01,407492,281,2176
2002-02-01,406516,264,1875
2002-03-01,414376,442,2209
2002-04-01,440746,401,2395
2002-05-01,467441,470,2333
2002-06-01,486673,406,2170
2002-07-01,497538,415,2322
2002-08-01,490267,445,2454
2002-09-01,486338,345,2164
2002-10-01,474862,350,2261
2002-11-01,484175,302,2018
2002-12-01,468164,282,1999
2003-01-01,466463,285,2159
2003-02-01,452671,206,1864
2003-03-01,455466,205,2060
2003-04-01,456330,178,1958
2003-05-01,452104,226,2028
2003-06-01,464442,207,2164
2003-07-01,455925,282,2121
2003-08-01,454476,333,2363
2003-09-01,448908,417,2017
2003-10-01,459283,360,2045
2003-11-01,471114,386,1948
2003-12-01,488704,366,1873
2004-01-01,495894,340,2034
