date,average_price
01/01/1995,182695
01/02/1995,182345
01/03/1995,182879
01/04/1995,184177
01/05/1995,191474
01/06/1995,197266
01/07/1995,197963
01/08/1995,198037
01/09/1995,197048
01/10/1995,200006
01/11/1995,199675
01/12/1995,200722
01/01/1996,198312
01/02/1996,195950
01/03/1996,197477
01/04/1996,201218
01/05/1996,202341
01/06/1996,199343
01/07/1996,207443
01/08/1996,209218
01/09/1996,220388
01/10/1996,217286
01/11/1996,223197
01/12/1996,213709
01/01/1997,225231
01/02/1997,230873
01/03/1997,237079
01/04/1997,238468
01/05/1997,236535
01/06/1997,247303
01/07/1997,254978
01/08/1997,257691
01/09/1997,256336
01/10/1997,251863
01/11/1997,258398
01/12/1997,265112
01/01/1998,269224
01/02/1998,270629
01/03/1998,265000
01/04/1998,270216
01/05/1998,273275
01/06/1998,277600
01/07/1998,272128
01/08/1998,271068
01/09/1998,266527
01/10/1998,262419
01/11/1998,255844
01/12/1998,266271
01/01/1999,278269
01/02/1999,289467
01/03/1999,285638
01/04/1999,283232
01/05/1999,291011
01/06/1999,300774
01/07/1999,309698
01/08/1999,317394
01/09/1999,333918
01/10/1999,341202
01/11/1999,352620
01/12/1999,354241
01/01/2000,355951
01/02/2000,352516
01/03/2000,360878
01/04/2000,376493
01/05/2000,382489
01/06/2000,372276
01/07/2000,384497
01/08/2000,388375
01/09/2000,397353
01/10/2000,371261
01/11/2000,386824
01/12/2000,392714
01/01/2001,407739
01/02/2001,394886
01/03/2001,406200
01/04/2001,418016
01/05/2001,417771
01/06/2001,423411
01/07/2001,434521
01/08/2001,451028
01/09/2001,438215
01/10/2001,424833
01/11/2001,412659
01/12/2001,412275
01/01/2002,407492
01/02/2002,406516
01/03/2002,414376
01/04/2002,440746
01/05/2002,467441
01/06/2002,486673
01/07/2002,497538
01/08/2002,490267
01/09/2002,486338
01/10/2002,474862
01/11/2002,484175
01/12/2002,468164
01/01/2003,466463
01/02/2003,452671
01/03/2003,455466
01/04/2003,456330
01/05/2003,452104
01/06/2003,464442
01/07/2003,455925
01/08/2003,454476
01/09/2003,448908
01/10/2003,459283
01/11/2003,471114
01/12/2003,488704
01/01/2004,495894
01/02/2004,506469
01/03/2004,504555
01/04/2004,490464
01/05/2004,488594
01/06/2004,492778
01/07/2004,534860
01/08/2004,547674
01/09/2004,559286
01/10/2004,523246
01/11/2004,517540
01/12/2004,484880
01/01/2005,477958
01/02/2005,480086
01/03/2005,489291
01/04/2005,507964
01/05/2005,518054
01/06/2005,527082
01/07/2005,540566
01/08/2005,529996
01/09/2005,542761
01/10/2005,532195
01/11/2005,540675
01/12/2005,555847
01/01/2006,565247
01/02/2006,569195
01/03/2006,570415
01/04/2006,581164
01/05/2006,590768
01/06/2006,599841
01/07/2006,606796
01/08/2006,609829
01/09/2006,603462
01/10/2006,604626
01/11/2006,630206
01/12/2006,644541
01/01/2007,682118
01/02/2007,695308
01/03/2007,712066
01/04/2007,718862
01/05/2007,718509
01/06/2007,723633
01/07/2007,746127
01/08/2007,779957
01/09/2007,830950
01/10/2007,808270
01/11/2007,777268
01/12/2007,767083
01/01/2008,810781
01/02/2008,832753
01/03/2008,808429
01/04/2008,762673
01/05/2008,760593
01/06/2008,766472
01/07/2008,822508
01/08/2008,806857
01/09/2008,811950
01/10/2008,754939
01/11/2008,754636
01/12/2008,725424
01/01/2009,668546
01/02/2009,627150
01/03/2009,598430
01/04/2009,622563
01/05/2009,664598
01/06/2009,719453
01/07/2009,770240
01/08/2009,782459
01/09/2009,763330
01/10/2009,736741
01/11/2009,753693
01/12/2009,755047
01/01/2010,794620
01/02/2010,778622
01/03/2010,820954
01/04/2010,818816
01/05/2010,855775
01/06/2010,821510
01/07/2010,845614
01/08/2010,826390
01/09/2010,863878
01/10/2010,859065
01/11/2010,877861
01/12/2010,884674
01/01/2011,860460
01/02/2011,844014
01/03/2011,879557
01/04/2011,959520
01/05/2011,939202
01/06/2011,911740
01/07/2011,877358
01/08/2011,912819
01/09/2011,931099
01/10/2011,916676
01/11/2011,950767
01/12/2011,919569
01/01/2012,929644
01/02/2012,933654
01/03/2012,941251
01/04/2012,970715
01/05/2012,974635
01/06/2012,1030803
01/07/2012,1032875
01/08/2012,1042777
01/09/2012,1058206
01/10/2012,1077366
