date,average_price
1995-01-01,182695
1995-02-01,182345
1995-03-01,182879
1995-04-01,184177
1995-05-01,191474
1995-06-01,197266
1995-07-01,197963
1995-08-01,198037
1995-09-01,197048
1995-10-01,200006
1995-11-01,199675
1995-12-01,200722
1996-01-01,198312
1996-02-01,195950
1996-03-01,197477
1996-04-01,201218
1996-05-01,202341
1996-06-01,199343
1996-07-01,207443
1996-08-01,209218
1996-09-01,220388
1996-10-01,217286
1996-11-01,223197
1996-12-01,213709
1997-01-01,225231
1997-02-01,230873
1997-03-01,237079
1997-04-01,238468
1997-05-01,236535
1997-06-01,247303
1997-07-01,254978
1997-08-01,257691
1997-09-01,256336
1997-10-01,251863
1997-11-01,258398
1997-12-01,265112
1998-01-01,269224
1998-02-01,270629
1998-03-01,265000
1998-04-01,270216
1998-05-01,273275
1998-06-01,277600
1998-07-01,272128
1998-08-01,271068
1998-09-01,266527
1998-10-01,262419
1998-11-01,255844
1998-12-01,266271
1999-01-01,278269
1999-02-01,289467
1999-03-01,285638
1999-04-01,283232
1999-05-01,291011
1999-06-01,300774
1999-07-01,309698
1999-08-01,317394
1999-09-01,333918
1999-10-01,341202
1999-11-01,352620
1999-12-01,354241
2000-01-01,355951
2000-02-01,352516
2000-03-01,360878
2000-04-01,376493
2000-05-01,382489
2000-06-01,372276
2000-07-01,384497
2000-08-01,388375
2000-09-01,397353
2000-10-01,371261
2000-11-01,386824
2000-12-01,392714
2001-01-01,407739
2001-02-01,394886
2001-03-01,406200
2001-04-01,418016
2001-05-01,417771
2001-06-01,423411
2001-07-01,434521
2001-08-01,451028
2001-09-01,438215
2001-10-01,424833
2001-11-01,412659
2001-12-01,412275
2002-01-01,407492
2002-02-01,406516
2002-03-01,414376
2002-04-01,440746
2002-05-01,467441
2002-06-01,486673
2002-07-01,497538
2002-08-01,490267
2002-09-01,486338
2002-10-01,474862
2002-11-01,484175
2002-12-01,468164
2003-01-01,466463
2003-02-01,452671
2003-03-01,455466
2003-04-01,456330
2003-05-01,452104
2003-06-01,464442
2003-07-01,455925
2003-08-01,454476
